X_mm,Y_mm,Z_mm
117.5,90.0,50.0
117.40486745229364,92.17889356869145,50.0
117.1201938253052,94.34120444167326,50.0
116.6481456572267,96.47047612756302,50.0
115.9923155196477,98.55050358314172,50.0
115.15769467591625,100.56545654351748,50.0
114.15063509461096,102.5,50.0
112.9788011072248,104.33941090877614,50.0
111.65111107797446,106.06969024216349,50.0
110.17766952966369,107.67766952966369,50.0
108.56969024216349,109.15111107797445,50.0
106.83941090877616,110.4788011072248,50.0
105.0,111.65063509461096,50.0
103.06545654351748,112.65769467591625,50.0
101.05050358314172,113.4923155196477,50.0
98.97047612756302,114.1481456572267,50.0
96.84120444167326,114.6201938253052,50.0
94.67889356869146,114.90486745229364,50.0
92.5,115.0,50.0
90.32110643130855,114.90486745229364,50.0
88.15879555832674,114.62019382530521,50.0
86.02952387243698,114.1481456572267,50.0
83.94949641685828,113.49231551964772,50.0
81.93454345648252,112.65769467591625,50.0
80.0,111.65063509461098,50.0
78.16058909122386,110.4788011072248,50.0
76.43030975783651,109.15111107797445,50.0
74.82233047033631,107.67766952966369,50.0
73.34888892202555,106.06969024216349,50.0
72.0211988927752,104.33941090877616,50.0
70.84936490538904,102.5,50.0
69.84230532408375,100.56545654351748,50.0
69.0076844803523,98.55050358314172,50.0
68.3518543427733,96.47047612756303,50.0
67.8798061746948,94.34120444167327,50.0
67.59513254770636,92.17889356869145,50.0
67.5,90.0,50.0
67.59513254770637,87.82110643130855,50.0
67.8798061746948,85.65879555832674,50.0
68.3518543427733,83.52952387243698,50.0
69.00768448035228,81.44949641685828,50.0
69.84230532408375,79.43454345648252,50.0
70.84936490538902,77.5,50.0
72.0211988927752,75.66058909122386,50.0
73.34888892202554,73.93030975783651,50.0
74.82233047033631,72.32233047033631,50.0
76.43030975783651,70.84888892202555,50.0
78.16058909122384,69.5211988927752,50.0
79.99999999999999,68.34936490538905,50.0
81.9345434564825,67.34230532408377,50.0
83.94949641685827,66.5076844803523,50.0
86.02952387243698,65.8518543427733,50.0
88.15879555832674,65.3798061746948,50.0
90.32110643130855,65.09513254770636,50.0
92.5,65.0,50.0
94.67889356869145,65.09513254770636,50.0
96.84120444167326,65.37980617469479,50.0
98.970476127563,65.8518543427733,50.0
101.0505035831417,66.50768448035228,50.0
103.06545654351747,67.34230532408375,50.0
105.0,68.34936490538904,50.0
106.83941090877614,69.5211988927752,50.0
108.56969024216347,70.84888892202554,50.0
110.17766952966369,72.32233047033631,50.0
111.65111107797445,73.93030975783651,50.0
112.9788011072248,75.66058909122384,50.0
114.15063509461095,77.49999999999999,50.0
115.15769467591623,79.4345434564825,50.0
115.9923155196477,81.44949641685827,50.0
116.6481456572267,83.52952387243698,50.0
117.1201938253052,85.65879555832674,50.0
117.40486745229364,87.82110643130854,50.0
